,Adjusted and Normalized peak areas in each treatment,,,,,,,,,,,,fdr-correcte p values from t-tests,,,Corresponding to Figure 3,,,,,,,,
Compound.Name,LCobSL_AB,LCobSL_CD,LCobSL_EF,LCobLL_AB,LCobLL_CD,LCobLL_EF,RCobSL_AB,RCobSL_CD,RCobSL_EF,RCobLL_AB,RCobLL_CD,RCobLL_EF,SL pvalue ,LL pvalue ,Combined pvalue ,Average peak size,Log2(Limited/Replete Cobalamin),Color,,,,,,
Acetyl CoA,dl,dl,dl,dl,dl,dl,0.422301579316433,0.39008476347486,0.380851055745046,dl,dl,dl,,,,,,,,,,,,
Aconitic Acid,dl,dl,dl,dl,dl,dl,3.1689332479784,2.45629545955887,1.69566526252691,dl,dl,dl,,,,,,,,,,,,
Adenine,dl,dl,dl,dl,dl,dl,3.30604244168423,3.68645501086925,4.24293934782298,dl,dl,dl,,,,,,,,,,,,
Adenosine,2.38649700339845,2.37766088729294,2.30070491964323,1.34155818519462,0.865603776834812,1.22214170774606,2.88018615423042,3.17112438980946,3.21095213150318,2.83028782676768,2.09569988519371,1.99996384321295,0.03629495,0.047971141,0.0769352972,2.22E+00,-0.625356264,Dark Blue,,,,,,
Adenosyl Homocysteine,4325.5321911629,3511.33614873231,3683.95919364175,4355.68886871226,3317.13007084203,2913.0441162629,225.467374590384,274.812785636392,242.795878975804,483.208640929035,431.366521097144,431.38007547002,0.01775496,0.040022254,0.0002898499,2.02E+03,3.40357707,Dark Blue,,,,,,
Adenosyl Methionine,104.745630369106,98.7700004096534,74.0380885957692,255.659559182828,441.365367566394,583.435994960474,2556.07486422314,700.58917630549,603.000939059207,669.358441125867,696.470783796138,1095.70027748256,0.2528134,0.122789437,0.1156613277,6.57E+02,-2.020488412,Grey,,,,,,
ADP,28.6359596978932,18.0672634562477,15.9832730799443,24.0046664099386,18.7657918747301,25.1330813570431,22.4009945130055,16.3766871067734,12.38695212516,11.1720708387731,12.0606988665864,10.0434774974392,0.5139706,0.04124112,0.0664939725,1.79E+01,0.629031287,Light Blue,,,,,,
Alanine,100.997292298175,85.9574935780971,66.787557789488,64.0086949722794,61.8541662257748,59.7406060357423,178.972376312596,190.279199878154,193.538555910187,80.893740400183,69.700247748834,70.9607280794598,0.01775496,0.092887005,0.1426611002,1.02E+02,-0.836131157,Light Blue,,,,,,
AMP,39.7365859677981,116.018845561513,36.8293300941212,18.4333680000285,23.4049474467168,30.3495129539789,98.9707584414423,114.146725520102,117.55768642013,64.5273361150731,41.9037621584011,72.584310494286,0.2648213,0.072890327,0.1205074513,6.45E+01,-0.944867909,Grey,,,,,,
Arachidonic Acid,2.86391435838492,3.33271178336879,3.47888611238847,dl,dl,dl,3.38803125792021,4.74376273648789,4.60188101668234,dl,dl,dl,0.170867,0.912205172,0.9961370672,1.09E+01,0.004006291,Grey,,,,,,
Asparagine,235.988804437789,211.549983725959,211.402782653756,137.486680113299,125.067928636223,130.718064386633,105.63460472842,130.596843543311,125.71150319777,93.9530982035416,96.724833738748,83.7951670220179,0.01000071,0.006714596,0.065615306,1.41E+02,0.725386359,Dark Blue,,,,,,
Aspartic acid,144.169050636455,139.060491539231,116.767330334558,75.6861735299815,64.2967984846658,71.8880417858791,168.220874394635,217.101166017947,250.772041197027,138.155549405608,124.386755302497,122.218496295332,0.1088321,0.006714596,0.0871673949,1.36E+02,-0.738485711,Light Blue,,,,,,
Betaine,28815.1876903717,44772.1047644727,12491.589065233,76623.5067049016,68927.0842241232,67113.6579994534,777742.582260701,916805.776517803,982882.232513491,279058.83149702,251952.199589939,260219.045712257,0.01775496,0.006714596,0.0608300433,3.14E+05,-3.537401268,Dark Blue,,,,,,
cAMP,2.59233430347886,2.78058862504629,2.38551758228726,1.58502606652708,3.10178203698072,2.95181945706027,2.69258547406048,3.01358016726724,3.14837901941392,3.58879181344193,2.44840706193192,2.61968390032821,0.1585318,0.645163099,0.3509106292,2.74E+00,-0.185641032,Grey,,,,,,
cGMP,1.25238751006801,1.49403240990122,dl,dl,dl,dl,0.380192137325636,0.679589931938894,0.722914366152215,dl,dl,dl,0.3033726,0.006714596,0.1156613277,6.03E-01,1.170588185,Light Blue,,,,,,
Chitobiose,17.6947529571138,26.6655212676347,21.5491089582445,66.8024274207753,44.805203540598,61.5318616194296,13.9268244690032,15.9493626887511,20.3099503273889,36.9013316209253,35.813016716277,29.5712646636291,0.2360348,0.085291164,0.2809305016,3.26E+01,0.648763652,Grey,,,,,,
Choline,53593.2443187228,64114.0858197358,54589.813165571,9459.92569063468,7543.41405461354,12548.6029604379,101305.101607258,125632.890651447,141871.702522536,22539.7194413207,16988.1113362477,16946.9447982488,0.0489888,0.04124112,0.3035222532,5.23E+04,-1.07515112,Dark Blue,,,,,,
Citric Acid,183.614714752595,96.9184078464317,162.84009701598,84.0430184377281,163.155470784158,224.936603355072,371.894459834781,308.499185195374,280.232334559863,47.3543327011338,64.5414139032763,39.7630992766668,0.0295177,0.155662,0.6952694067,1.69E+02,-0.28088138,Light Blue,,,,,,
Ado-cobalamin,dl,dl,dl,dl,dl,dl,0.115009682982927,0.055478937276747,0.0698281571868292,0.020760689646468,0.0234375066808077,0.00290916677411536,0.08741809,0.332922631,0.1156613277,2.67E-02,-3.119349235,Grey,,,,,,
Crotonyl CoA,dl,dl,dl,dl,dl,dl,0.176568436306683,0.155799516811186,0.151047660228134,dl,dl,dl,,,,,,,,,,,,
Cystathionine,43.0219347006873,33.8082663162805,38.8296400491107,17.559990920518,19.7147749037156,13.5687077653377,1.18268572797137,0.850780728764936,1.02855131153772,dl,dl,dl,0.01775496,0.029529836,0.0256852196,1.42E+01,5.505821561,Dark Blue,,,,,,
Cytosine,5.14438567217273,5.77036542916695,4.82269770019526,2.63938322394653,1.55584998698271,2.13742120070898,5.89365815839395,7.00190308173189,7.06517832081519,5.49138095834717,4.24505015054141,3.90572782729191,0.08091287,0.040022254,0.1215635827,4.64E+00,-0.606492305,Light Blue,,,,,,
DHA,35.1847989685452,69.1305287871491,70.1715910662022,124.523892330109,191.619124749998,92.5639946250052,48.7522636675154,76.631730214179,66.8964838641941,193.962131585942,90.2141685161613,95.403835069408,0.706895,0.849502738,0.9770878219,9.63E+01,0.028312162,Grey,,,,,,
DHAP,dl,dl,dl,dl,dl,dl,6.9763182086718,6.75713709748861,6.59801420561617,2.25956587871066,1.80635883302924,2.57985948516683,0.0005806422,0.014822132,0.5291304265,4.05E+00,-0.319415928,Dark Blue,,,,,,
DHPS,27488.0594540388,31987.6076792279,36404.0350788617,76704.0024150313,73470.1859164767,84023.8617691185,19252.0599796832,26209.7667815332,30109.3113283895,53803.8607371461,48016.142344273,50890.8434910874,0.228904,0.013404801,0.3035222532,4.65E+04,0.531988891,Light Blue,,,,,,
Dimethyl Glycine,dl,dl,dl,dl,dl,dl,614.572998752422,752.786112466977,886.937813295049,1054.67683480752,967.118447685847,899.288376247526,0.1948261,0.261239771,0.1833932689,9.33E+02,0.217097142,Grey,,,,,,
DMSP,20515.9309312155,27126.8745464006,22481.9425739606,6374.2447826495,6288.54971537367,7038.78869939637,303188.794789232,346143.039902232,375524.201456084,42636.079332678,30645.8536169506,31796.4520425416,0.01775496,0.039539231,0.1156613277,1.02E+05,-3.652956823,Dark Blue,,,,,,
EPA,327.302106968618,523.320697451024,591.927697980872,1201.80094966244,1353.02806456021,762.063219078362,496.8971406651,715.736291601411,570.156858739762,2069.87326932462,1003.34187148975,1153.31177307655,0.3800615,0.550189052,0.5866996761,8.97E+02,-0.336408413,Grey,,,,,,
Ergosterol,6.69853571858852,6.56912839821244,5.28852156304219,dl,dl,dl,1.00246322570786,1.27398682977096,1.74894160917693,dl,dl,dl,0.01516979,0.006714596,0.1540580237,2.10E+00,2.183952098,Dark Blue,,,,,,
FAD,5.48664063810695,4.71884544150295,3.70029910528608,6.18763721164996,2.38275327948485,3.40717302070451,10.6556370884237,6.49685906752318,8.4758284795527,5.30994634443198,5.95816849868614,6.66413211144412,0.107148,0.277529706,0.0634663233,5.79E+00,-0.750998605,Grey,,,,,,
Fructose 6 phosphate,5.0774798351123,2.52413745032953,2.46782539471938,0.797390249912279,1.6968640591109,1.49158170121418,11.0732266061999,11.9602079959728,14.0940615936149,3.291579022222,3.36006226496302,3.18063878860633,0.01251916,0.038260229,0.1156613277,5.08E+00,-1.740313475,Dark Blue,,,,,,
Fumaric Acid,dl,dl,dl,dl,dl,dl,13.314756746903,12.902822460503,7.69856754486631,dl,dl,dl,,,,,,,,,,,,
Gluconic Acid,135.671943970773,83.0491745076567,97.174196285542,106.626149555341,128.207773394132,122.107256622316,199.662798590745,221.061573640715,197.33864066092,98.7063172032667,95.2298655010755,69.6916667645047,0.0306785,0.594776928,0.3733621569,1.30E+02,-0.390016949,Light Blue,,,,,,
Glucose 6 phosphate,21.6428291474157,31.1791067803343,21.7659154855711,14.47442327491,11.4467236649098,15.5117828966841,52.4134317627407,64.3053291833682,73.3782595503616,18.471663536453,14.6644657468701,12.5694654478782,0.120736,0.701900988,0.2257157082,2.93E+01,-1.02319648,Light Blue,,,,,,
Glucosylglycerol,1.69709009290012,0.796852763015037,0.704495750621988,1.14661070975395,2.31317963293812,2.14247762494403,1.83960937973289,4.00031307582548,4.23555623799122,3.48598091692161,1.46414064439777,1.69817372974945,0.01775496,0.040022254,0.1156613277,2.13E+00,-0.926209189,Grey,,,,,,
Glutamic acid,9824.21708079223,9301.91691291727,8584.80593085909,6458.48346762245,5354.67618858957,6285.26732507096,11318.9696981619,12301.4178912405,12250.9459442316,9223.52012515519,7765.64465411391,7949.87151353246,0.4789682,0.014553464,0.1156613277,8.88E+03,-0.408674739,Dark Blue,,,,,,
Glutamine,3651.22429403013,6863.12909564225,6546.66672928792,4266.06441901717,2185.34355760092,2912.75973006104,4844.87176650915,7214.71119642587,9442.09363950593,13632.9162827653,11924.9737980779,9924.34659854506,0.5139706,0.460462435,0.0485767998,6.95E+03,-1.108640974,Dark Blue,,,,,,
Glutathione,dl,61.9786421803995,dl,dl,dl,dl,99.1039950089895,33.5072561499863,24.6879075181297,dl,dl,21.6061478590247,0.03629495,0.832319583,0.6952694067,2.72E+01,-0.434783325,Grey,,,,,,
Glycerol 3 phosphate,19.0274449007229,18.0162707804835,17.530976973773,10.883335590876,8.84687892282763,11.8928726544489,45.066295905444,51.8940606565206,59.8877278467396,12.4509465600024,11.6440795891154,8.65287499964934,0.02083833,0.143671332,0.2196407616,2.30E+01,-1.137205802,Light Blue,,,,,,
GMP,1.23879283656566,2.58580964731696,3.44929615665959,2.89445472024424,1.56500297669997,2.9388237402036,6.76113108167765,6.83303855921389,7.8723912892942,3.7520883055811,3.22848858867071,3.93176486992024,0.01775496,0.006714596,0.0594111593,3.92E+00,-1.141970843,Light Blue,,,,,,
