Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Vol.Filtered,Dilution.Factor
171013_Blk_Blk_1,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,
171013_Blk_Blk_2,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1,,
171013_Std_250nMStdinH2O_1,,RP_POS Metabolomics,15,CyanoAq,250nMStdinH2O,1,1,,
171013_Std_250nMStdinAqMatrix_1,,RP_POS Metabolomics,10,CyanoAq,250nMStdinAqMatrix,1,1,,
171013_Blk_Blk_3,,RP_POS Metabolomics,10,CyanoAq,Blk,1,1,,
171013_Blk_Blk_4,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,
171013_Poo_Sept29QC_1,,RP_POS Metabolomics,5,CyanoAq,Sept29QC,1,1,,2
171013_Poo_TruePooInc1_Full1,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Poo_TruePooInc1_Half1,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,0.5,,4
171002_Poo_TruePooInc1_dda1,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Blk_Blk_5,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1Control_1,,RP_POS Metabolomics,5,CyanoAq,IL1Control,1,1,8,2
171013_Smp_IL1WBT_1,,RP_POS Metabolomics,5,CyanoAq,IL1WBT,1,1,8,2
171013_Smp_IL1Control_2,,RP_POS Metabolomics,5,CyanoAq,IL1Control,1,1,8,2
171013_Blk_Blk_6,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1DSW_3,,RP_POS Metabolomics,5,CyanoAq,IL1DSW,1,1,8,2
171013_Smp_IT0_2,,RP_POS Metabolomics,5,CyanoAq,IT0,1,1,8,2
171013_Smp_IL1noBT_2,,RP_POS Metabolomics,5,CyanoAq,IL1noBT,1,1,8,2
171013_Blk_Blk_7,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1Control_3,,RP_POS Metabolomics,5,CyanoAq,IL1Control,1,1,8,2
171013_Smp_IL1noBT_1,,RP_POS Metabolomics,5,CyanoAq,IL1noBT,1,1,8,2
171013_Smp_IL1DMB_1,,RP_POS Metabolomics,5,CyanoAq,IL1DMB,1,1,8,2
171013_Blk_Blk_8,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Blk_ProcessBlk_1,,RP_POS Metabolomics,5,CyanoAq,ProcessBlk,1,1,,2
171013_Blk_ProcessBlk_3,,RP_POS Metabolomics,5,CyanoAq,ProcessBlk,1,1,,2
171013_Smp_IL1DSW_2,,RP_POS Metabolomics,5,CyanoAq,IL1DSW,1,1,8,2
171013_Smp_DSW700m_1,,RP_POS Metabolomics,5,CyanoAq,DSW700m,1,1,10,2
171013_Blk_Blk_9,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Poo_Sept29QC_2,,RP_POS Metabolomics,5,CyanoAq,Sept29QC,1,1,,2
171013_Poo_TruePooInc1_Half2,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,0.5,,4
171013_Poo_TruePooInc1_Full2,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171002_Poo_TruePooInc1_dda2,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Blk_Blk_10,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1DMB_3,,RP_POS Metabolomics,5,CyanoAq,IL1DMB,1,1,8,2
171013_Smp_IL1WBT_3,,RP_POS Metabolomics,5,CyanoAq,IL1WBT,1,1,8,2
171013_Smp_IL1DSW_1,,RP_POS Metabolomics,5,CyanoAq,IL1DSW,1,1,8,2
171013_Blk_Blk_11,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1DMBnoBT_2,,RP_POS Metabolomics,5,CyanoAq,IL1DMBnoBT,1,1,8,2
171013_Smp_IT0_3,,RP_POS Metabolomics,5,CyanoAq,IT0,1,1,8,2
171013_Smp_IL1noBT_3,,RP_POS Metabolomics,5,CyanoAq,IL1noBT,1,1,8,2
171013_Blk_Blk_12,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IT0_1,,RP_POS Metabolomics,5,CyanoAq,IT0,1,1,8,2
171013_Smp_IL1DMB_2,,RP_POS Metabolomics,5,CyanoAq,IL1DMB,1,1,8,2
171013_Blk_Blk_13,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1WBT_2,,RP_POS Metabolomics,5,CyanoAq,IL1WBT,1,1,8,2
171013_Blk_ProcessBlk_2,,RP_POS Metabolomics,5,CyanoAq,ProcessBlk,1,1,,2
171013_Smp_IL1DMBnoBT_1,,RP_POS Metabolomics,5,CyanoAq,IL1DMBnoBT,1,1,8,2
171013_Smp_DSW700m_2,,RP_POS Metabolomics,5,CyanoAq,DSW700m,1,1,10,2
171013_Blk_Blk_14,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1Control5um_1,,RP_POS Metabolomics,5,CyanoAq,IL1Control5um,1,1,8,2
171013_Smp_IL1WBT5um_1,,RP_POS Metabolomics,5,CyanoAq,IL1WBT5um,1,1,8,2
171013_Smp_IL1Control5um_2,,RP_POS Metabolomics,5,CyanoAq,IL1Control5um,1,1,8,2
171013_Blk_Blk_15,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Poo_Sept29QC_3,,RP_POS Metabolomics,5,CyanoAq,Sept29QC,1,1,,2
171013_Poo_TruePooInc1_Full3,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Poo_TruePooInc1_Half3,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,0.5,,4
171002_Poo_TruePooInc1_dda3,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Blk_Blk_16,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1DSW5um_3,,RP_POS Metabolomics,5,CyanoAq,IL1DSW5um,1,1,8,2
171013_Smp_IT05um_2,,RP_POS Metabolomics,5,CyanoAq,IT05um,1,1,8,2
171013_Smp_IL1noBT5um_2,,RP_POS Metabolomics,5,CyanoAq,IL1noBT5um,1,1,8,2
171013_Blk_Blk_17,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1Control5um_3,,RP_POS Metabolomics,5,CyanoAq,IL1Control5um,1,1,8,2
171013_Smp_IL1noBT5um_1,,RP_POS Metabolomics,5,CyanoAq,IL1noBT5um,1,1,8,2
171013_Smp_IL1DMB5um_1,,RP_POS Metabolomics,15,CyanoAq,IL1DMB5um,1,1,8,2
171013_Blk_Blk_18,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1,,2
171013_Smp_IL1DSW5um_2,,RP_POS Metabolomics,15,CyanoAq,IL1DSW5um,1,1,8,2
171013_Smp_IL1DMB5um_3,,RP_POS Metabolomics,15,CyanoAq,IL1DMB5um,1,1,8,2
171013_Smp_IL1WBT5um_3,,RP_POS Metabolomics,5,CyanoAq,IL1WBT5um,1,1,8,2
171013_Blk_Blk_19,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1DSW5um_1,,RP_POS Metabolomics,5,CyanoAq,IL1DSW5um,1,1,8,2
171013_Smp_IL1DMBnoBT5um_2,,RP_POS Metabolomics,5,CyanoAq,IL1DMBnoBT5um,1,1,8,2
171013_Smp_IT05um_3,,RP_POS Metabolomics,5,CyanoAq,IT05um,1,1,8,2
171013_Blk_Blk_20,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1noBT5um_3,,RP_POS Metabolomics,5,CyanoAq,IL1noBT5um,1,1,8,2
171013_Smp_IL1DMBnoBT5um_3,,RP_POS Metabolomics,5,CyanoAq,IL1DMBnoBT5um,1,1,8,2
171013_Smp_IT05um_1,,RP_POS Metabolomics,5,CyanoAq,IT05um,1,1,8,2
171013_Blk_Blk_21,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_IL1DMB5um_2,,RP_POS Metabolomics,5,CyanoAq,IL1DMB5um,1,1,8,2
171013_Smp_IL1WBT5um_2,,RP_POS Metabolomics,5,CyanoAq,IL1WBT5um,1,1,8,2
171013_Smp_IL1DMBnoBT5um_1,,RP_POS Metabolomics,5,CyanoAq,IL1DMBnoBT5um,1,1,8,2
171013_Poo_Sept29QC_4,,RP_POS Metabolomics,5,CyanoAq,Sept29QC,1,1,,2
171013_Blk_Blk_22,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Poo_TruePooInc1_Half4,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,0.5,,4
171013_Poo_TruePooInc1_Full4,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171002_Poo_TruePooInc1_dda4,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Blk_Blk_22a,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,2
171013_Smp_DSW700m_3,,RP_POS Metabolomics,5,CyanoAq,DSW700m,1,1,10,2
171013_Std_250nMStdinAqMatrix_2,,RP_POS Metabolomics,10,CyanoAq,250nMStdinAqMatrix,1,1,,
171013_Std_250nMStdinH2O_2,,RP_POS Metabolomics,15,CyanoAq,250nMStdinH2O,1,1,,
171013_Blk_Blk_43,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,
171013_Poo_TruePooInc1_250k-1,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Poo_TruePooInc1_250k-2,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Poo_TruePooInc1_250k-3,,RP_POS Metabolomics,5,CyanoAq,TruePooInc1,1,1,,2
171013_Blk_Blk_44,,RP_POS Metabolomics,5,CyanoAq,Blk,1,1,,
171030_Blk_Blk_1,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1,,
171030_Blk_Blk_2,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1,,
171030_Std_250nMStdinH2O_1,,RP_POS Metabolomics,15,CyanoAq,250nMStdinH2O,1,1,,
171030_Std_250nMStdinAqMatrix_1,,RP_POS Metabolomics,10,CyanoAq,250nMStdinAqMatrix,1,1,,
171030_Blk_Blk_3,,RP_POS Metabolomics,10,CyanoAq,Blk,1,1,,
