Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Dilution.Factor,Vol.Filtered
200723_Blk_Blk_1,,Cyano,5,CyanoAq,Blk,1,1,,
200723_Blk_Blk_2,,Cyano,5,CyanoAq,Blk,1,1,,
200723_Std_H2OinAqMatrix_5uL-1,,Cyano,5,CyanoAq,H2OinAqMatrix,1,1,,
200723_Std_250nMStdinH2O_5uL-1,,Cyano,5,CyanoAq,250nMStdinH2O,1,1,,
200723_Std_250nMStdinAqMatrix_5uL-1,,Cyano,5,CyanoAq,250nMStdinAqMatrix,1,1,,
200723_Blk_Blk_3,,Cyano,10,CyanoAq,Blk,1,1,,
200723_Blk_Blk_3a,,Cyano,10,CyanoAq,Blk,1,1,,
200723_Std_H2OinAqMatrix_10uL-1,,Cyano,10,CyanoAq,H2OinAqMatrix,1,1,,
200723_Std_250nMStdinH2O_10uL-1,,Cyano,10,CyanoAq,250nMStdinH2O,1,1,,
200723_Std_250nMStdinAqMatrix_10uL-1,,Cyano,10,CyanoAq,250nMStdinAqMatrix,1,1,,
200723_Blk_Blk_3b,,Cyano,25,CyanoAq,Blk,1,1,,
200723_Blk_Blk_4,,Cyano,25,CyanoAq,Blk,1,1,,
200723_Poo_TruePoo_Full1,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Poo_TruePoo_Half1,,Cyano,25,CyanoAq,TruePoo,1,0.5,4,
200723_Blk_Blk_4a,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Poo_TruePoo_prm1,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Poo_TruePoo_dda1,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Blk_Blk_5,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1Control_1,,Cyano,25,CyanoAq,IL1Control,1,1,2,8
200723_Smp_IL1WBT_1,,Cyano,25,CyanoAq,IL1WBT,1,1,2,8
200723_Smp_IL1Control_2,,Cyano,25,CyanoAq,IL1Control,1,1,2,8
200723_Blk_Blk_6,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1DSW_3,,Cyano,25,CyanoAq,IL1DSW,1,1,2,8
200723_Smp_IL1T0_2,,Cyano,25,CyanoAq,IL1T0,1,1,2,8
200723_Smp_IL1noBT_2,,Cyano,25,CyanoAq,IL1noBT,1,1,2,8
200723_Blk_Blk_7,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1Control_3,,Cyano,25,CyanoAq,IL1Control,1,1,2,8
200723_Smp_IL1noBT_1,,Cyano,25,CyanoAq,IL1noBT,1,1,2,8
200723_Smp_IL1DMB_1,,Cyano,25,CyanoAq,IL1DMB,1,1,2,8
200723_Blk_Blk_8,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Blk_ProcessBlk_1,,Cyano,25,CyanoAq,ProcessBlk,1,1,2,
200723_Blk_ProcessBlk_3,,Cyano,25,CyanoAq,ProcessBlk,1,1,2,
200723_Smp_IL1DSW_2,,Cyano,25,CyanoAq,IL1DSW,1,1,2,8
200723_Blk_Blk_9,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Poo_TruePoo_Half2,,Cyano,25,CyanoAq,TruePoo,1,0.5,4,
200723_Poo_TruePoo_Full2,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Blk_Blk_9a,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Poo_TruePoo_prm2,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Poo_TruePoo_dda2,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Blk_Blk_10,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1DMB_3,,Cyano,25,CyanoAq,IL1DMB,1,1,2,8
200723_Smp_IL1WBT_3,,Cyano,25,CyanoAq,IL1WBT,1,1,2,8
200723_Smp_IL1DSW_1,,Cyano,25,CyanoAq,IL1DSW,1,1,2,8
200723_Blk_Blk_11,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1DMBnoBT_2,,Cyano,25,CyanoAq,IL1DMBnoBT,1,1,2,8
200723_Smp_IL1T0_3,,Cyano,25,CyanoAq,IL1T0,1,1,2,8
200723_Smp_IL1noBT_3,,Cyano,25,CyanoAq,IL1noBT,1,1,2,8
200723_Blk_Blk_12,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1T0_1,,Cyano,25,CyanoAq,IL1T0,1,1,2,8
200723_Smp_IL1DMB_2,,Cyano,25,CyanoAq,IL1DMB,1,1,2,8
200723_Blk_Blk_13,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1WBT_2,,Cyano,25,CyanoAq,IL1WBT,1,1,2,8
200723_Blk_ProcessBlk_2,,Cyano,25,CyanoAq,ProcessBlk,1,1,2,
200723_Smp_IL1DMBnoBT_1,,Cyano,25,CyanoAq,IL1DMBnoBT,1,1,2,8
200723_Blk_Blk_14,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1Control5um_1,,Cyano,25,CyanoAq,IL1Control5um,1,1,2,8
200723_Smp_IL1WBT5um_1,,Cyano,25,CyanoAq,IL1WBT5um,1,1,2,8
200723_Smp_IL1WBT5um_1_2nd-Inj_35uL,,Cyano,35,CyanoAq,IL1WBT5um,1,1,2,8
200723_Smp_IL1Control5um_2,,Cyano,25,CyanoAq,IL1Control5um,1,1,2,8
200723_Blk_Blk_15,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1DSW5um_3,,Cyano,25,CyanoAq,IL1DSW5um,1,1,2,8
200723_Smp_IL1T05um_2,,Cyano,25,CyanoAq,IL1T05um,1,1,2,8
200723_Smp_IL1noBT5um_2,,Cyano,25,CyanoAq,IL1noBT5um,1,1,2,8
200723_Blk_Blk_17,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1Control5um_3,,Cyano,25,CyanoAq,IL1Control5um,1,1,2,8
200723_Smp_IL1noBT5um_1,,Cyano,25,CyanoAq,IL1noBT5um,1,1,2,8
200723_Smp_IL1DMB5um_1,,Cyano,25,CyanoAq,IL1DMB5um,1,1,2,8
200723_Blk_Blk_18,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1DSW5um_2,,Cyano,25,CyanoAq,IL1DSW5um,1,1,2,8
200723_Smp_IL1DMB5um_3,,Cyano,25,CyanoAq,IL1DMB5um,1,1,2,8
200723_Smp_IL1WBT5um_3,,Cyano,25,CyanoAq,IL1WBT5um,1,1,2,8
200723_Blk_Blk_19,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1DSW5um_1,,Cyano,25,CyanoAq,IL1DSW5um,1,1,2,8
200723_Smp_IL1DMBnoBT5um_2,,Cyano,25,CyanoAq,IL1DMBnoBT5um,1,1,2,8
200723_Smp_IL1T05um_3,,Cyano,25,CyanoAq,IL1T05um,1,1,2,8
200723_Blk_Blk_20,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1noBT5um_3,,Cyano,25,CyanoAq,IL1noBT5um,1,1,2,8
200723_Smp_IL1DMBnoBT5um_3,,Cyano,25,CyanoAq,IL1DMBnoBT5um,1,1,2,8
200723_Smp_IL1T05um_1,,Cyano,25,CyanoAq,IL1T05um,1,1,2,8
200723_Blk_Blk_21,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL1DMB5um_2,,Cyano,25,CyanoAq,IL1DMB5um,1,1,2,8
200723_Smp_IL1WBT5um_2,,Cyano,25,CyanoAq,IL1WBT5um,1,1,2,8
200723_Smp_IL1DMBnoBT5um_1,,Cyano,25,CyanoAq,IL1DMBnoBT5um,1,1,2,8
200723_Blk_Blk_22,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Poo_TruePoo_Full3,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Poo_TruePoo_Half3,,Cyano,25,CyanoAq,TruePoo,1,0.5,4,
200723_Blk_Blk_22a,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Poo_TruePoo_dda3,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Poo_TruePoo_prm3,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Blk_Blk_23,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2Control_2,,Cyano,25,CyanoAq,IL2Control,1,1,2,8
200723_Smp_IL2DSW_3,,Cyano,25,CyanoAq,IL2DSW,1,1,2,8
200723_Smp_IL2Control_1,,Cyano,25,CyanoAq,IL2Control,1,1,2,8
200723_Blk_Blk_24,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2WBT_1,,Cyano,25,CyanoAq,IL2WBT,1,1,2,8
200723_Smp_IL2T0_2,,Cyano,25,CyanoAq,IL2T0,1,1,2,8
200723_Smp_IL2noBT_2,,Cyano,25,CyanoAq,IL2noBT,1,1,2,8
200723_Blk_Blk_25,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2Control_3,,Cyano,25,CyanoAq,IL2Control,1,1,2,8
200723_Smp_IL2DMB_1,,Cyano,25,CyanoAq,IL2DMB,1,1,2,8
200723_Smp_IL2noBT_1,,Cyano,25,CyanoAq,IL2noBT,1,1,2,8
200723_Blk_Blk_26,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2DSW_2,,Cyano,25,CyanoAq,IL2DSW,1,1,2,8
200723_Smp_DSW700m_1,,Cyano,25,CyanoAq,DSW700m,1,1,2,10
200723_Blk_Blk_27,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2WBT_3,,Cyano,25,CyanoAq,IL2WBT,1,1,2,8
200723_Smp_IL2DMB_3,,Cyano,25,CyanoAq,IL2DMB,1,1,2,8
200723_Smp_IL2DSW_1,,Cyano,25,CyanoAq,IL2DSW,1,1,2,8
200723_Blk_Blk_28,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2DMBnoBT_2,,Cyano,25,CyanoAq,IL2DMBnoBT,1,1,2,8
200723_Smp_IL2T0_1,,Cyano,25,CyanoAq,IL2T0,1,1,2,8
200723_Smp_IL2noBT_3,,Cyano,25,CyanoAq,IL2noBT,1,1,2,8
200723_Blk_Blk_29,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2DMBnoBT_3,,Cyano,25,CyanoAq,IL2DMBnoBT,1,1,2,8
200723_Smp_IL2T0_3,,Cyano,25,CyanoAq,IL2T0,1,1,2,8
200723_Smp_IL2DMB_2,,Cyano,25,CyanoAq,IL2DMB,1,1,2,8
200723_Blk_Blk_30,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2WBT_2,,Cyano,25,CyanoAq,IL2WBT,1,1,2,8
200723_Smp_IL2DMBnoBT_1,,Cyano,25,CyanoAq,IL2DMBnoBT,1,1,2,8
200723_Smp_DSW700m_2,,Cyano,25,CyanoAq,DSW700m,1,1,2,10
200723_Blk_Blk_31,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2Control5um_1,,Cyano,25,CyanoAq,IL2Control5um,1,1,2,8
200723_Smp_IL2WBT5um_1,,Cyano,25,CyanoAq,IL2WBT5um,1,1,2,8
200723_Smp_IL2Control5um_2,,Cyano,25,CyanoAq,IL2Control5um,1,1,2,8
200723_Blk_Blk_32,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2DSW5um_3,,Cyano,25,CyanoAq,IL2DSW5um,1,1,2,8
200723_Smp_IL2T05um_2,,Cyano,25,CyanoAq,IL2T05um,1,1,2,8
200723_Smp_IL2noBT5um_2,,Cyano,25,CyanoAq,IL2noBT5um,1,1,2,8
200723_Blk_Blk_33,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2Control5um_3,,Cyano,25,CyanoAq,IL2Control5um,1,1,2,8
200723_Smp_IL2noBT5um_1,,Cyano,25,CyanoAq,IL2noBT5um,1,1,2,8
200723_Smp_IL2DMB5um_1,,Cyano,25,CyanoAq,IL2DMB5um,1,1,2,8
200723_Blk_Blk_34,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2DSW5um_2,,Cyano,25,CyanoAq,IL2DSW5um,1,1,2,8
200723_Smp_IL2DMB5um_3,,Cyano,25,CyanoAq,IL2DMB5um,1,1,2,8
200723_Smp_IL2WBT5um_3,,Cyano,25,CyanoAq,IL2WBT5um,1,1,2,8
200723_Blk_Blk_35,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2DSW5um_1,,Cyano,25,CyanoAq,IL2DSW5um,1,1,2,8
200723_Smp_IL2DMBnoBT5um_2,,Cyano,25,CyanoAq,IL2DMBnoBT5um,1,1,2,8
200723_Smp_IL2T05um_3,,Cyano,25,CyanoAq,IL2T05um,1,1,2,8
200723_Blk_Blk_36,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2noBT5um_3,,Cyano,25,CyanoAq,IL2noBT5um,1,1,2,8
200723_Smp_IL2DMBnoBT5um_3,,Cyano,25,CyanoAq,IL2DMBnoBT5um,1,1,2,8
200723_Smp_IL2T05um_1,,Cyano,25,CyanoAq,IL2T05um,1,1,2,8
200723_Blk_Blk_37,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_IL2DMBnoBT5um_1,,Cyano,25,CyanoAq,IL2DMBnoBT5um,1,1,2,8
200723_Smp_IL2WBT5um_2,,Cyano,25,CyanoAq,IL2WBT5um,1,1,2,8
200723_Smp_IL2DMB5um_2,,Cyano,25,CyanoAq,IL2DMB5um,1,1,2,8
200723_Blk_Blk_38,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_DSW700m_3,,Cyano,25,CyanoAq,DSW700m,1,1,2,10
200723_Poo_TruePoo_Half4,,Cyano,25,CyanoAq,TruePoo,1,0.5,4,
200723_Poo_TruePoo_Full4,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Blk_Blk_39,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Poo_TruePoo_dda4,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Poo_TruePoo_prm4,,Cyano,25,CyanoAq,TruePoo,1,1,2,
200723_Blk_Blk_40,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Std_H2OinAqMatrix_5uL-2,,Cyano,5,CyanoAq,H2OinAqMatrix,1,1,,
200723_Std_250nMStdinH2O_5uL-2,,Cyano,5,CyanoAq,250nMStdinH2O,1,1,,
200723_Std_250nMStdinAqMatrix_5uL-2,,Cyano,5,CyanoAq,250nMStdinAqMatrix,1,1,,
200723_Blk_Blk_41,,Cyano,5,CyanoAq,Blk,1,1,,
200723_Std_H2OinAqMatrix_10uL-2,,Cyano,10,CyanoAq,H2OinAqMatrix,1,1,,
200723_Std_250nMStdinH2O_10uL-2,,Cyano,10,CyanoAq,250nMStdinH2O,1,1,,
200723_Std_250nMStdinAqMatrix_10uL-2,,Cyano,10,CyanoAq,250nMStdinAqMatrix,1,1,,
200723_Blk_Blk_42,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Blk_Blk_42,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Blk_Blk_42,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Blk_Blk_43,,Cyano,25,CyanoAq,Blk,1,1,2,
200722_Smp_CultureMED4_1,,Cyano,25,CyanoAq,CultureMED4,1,1,1,
200723_Blk_Blk_41a,,Cyano,25,CyanoAq,Blk,1,1,2,
200723_Smp_DSW700m-IL2_1,,Cyano,25,CyanoAq,DSW700m-IL2,1,1,2,10
200723_Smp_DSW700m-IL2_2,,Cyano,25,CyanoAq,DSW700m-IL2,1,1,2,10
200723_Smp_DSW700m-IL2_3,,Cyano,25,CyanoAq,DSW700m-IL2,1,1,2,10
200722_Smp_CultureMED4_2,,Cyano,25,CyanoAq,CultureMED4,1,1,1,
200723_Blk_Blk_41b,,Cyano,25,CyanoAq,Blk,1,1,2,
